Datum,Zaehlerstand
10.04.2018,5976
11.04.2018,3290
12.04.2018,4922
13.04.2018,3949
14.04.2018,3411
15.04.2018,3101
16.04.2018,5144
17.04.2018,6483
18.04.2018,7153
19.04.2018,7103
20.04.2018,5981
21.04.2018,4207
22.04.2018,2413
23.04.2018,4934
24.04.2018,5306
25.04.2018,4382
26.04.2018,4489
27.04.2018,4600
28.04.2018,2388
29.04.2018,1840
30.04.2018,2535
01.05.2018,2206
02.05.2018,5069
03.05.2018,5198
04.05.2018,5351
05.05.2018,4418
06.05.2018,4109
07.05.2018,6520
08.05.2018,6860
09.05.2018,6355
10.05.2018,2161
11.05.2018,4062
12.05.2018,3524
13.05.2018,744
14.05.2018,5122
15.05.2018,6005
16.05.2018,4410
17.05.2018,5228
18.05.2018,4218
19.05.2018,2289
20.05.2018,2421
21.05.2018,2621
22.05.2018,3409
23.05.2018,3481
24.05.2018,3521
25.05.2018,4196
26.05.2018,3477
27.05.2018,2217
28.05.2018,5889
29.05.2018,4929
30.05.2018,6051
31.05.2018,3695
01.06.2018,1447
02.06.2018,2804
03.06.2018,3162
04.06.2018,6022
05.06.2018,6023
06.06.2018,6662
07.06.2018,5043
08.06.2018,3452
09.06.2018,3383
10.06.2018,3033
11.06.2018,5134
12.06.2018,4192
13.06.2018,5312
14.06.2018,4572
15.06.2018,4486
16.06.2018,2544
17.06.2018,2662
18.06.2018,4638
19.06.2018,5071
20.06.2018,6320
21.06.2018,4782
22.06.2018,3971
23.06.2018,2362
24.06.2018,2168
25.06.2018,4656
26.06.2018,5660
27.06.2018,6453
28.06.2018,5945
29.06.2018,5311
30.06.2018,3494
01.07.2018,3202
02.07.2018,5853
03.07.2018,6188
04.07.2018,5445
05.07.2018,5720
06.07.2018,5015
07.07.2018,3472
08.07.2018,3608
09.07.2018,5302
10.07.2018,4355
11.07.2018,4759
12.07.2018,5407
13.07.2018,5372
14.07.2018,3618
15.07.2018,3271
16.07.2018,5446
17.07.2018,5146
18.07.2018,5631
19.07.2018,5355
20.07.2018,4405
21.07.2018,2950
22.07.2018,2881
23.07.2018,4586
24.07.2018,4985
25.07.2018,4777
26.07.2018,4450
27.07.2018,4269
28.07.2018,2379
29.07.2018,2379
30.07.2018,4037
31.07.2018,4467
01.08.2018,4539
02.08.2018,4516
03.08.2018,3935
04.08.2018,2504
05.08.2018,2630
06.08.2018,3977
07.08.2018,4104
08.08.2018,3530
09.08.2018,3149
10.08.2018,3435
11.08.2018,2640
12.08.2018,2442
13.08.2018,2348
14.08.2018,2763
15.08.2018,3700
16.08.2018,4122
17.08.2018,2846
18.08.2018,2712
19.08.2018,2447
20.08.2018,3421
21.08.2018,4057
22.08.2018,4349
23.08.2018,4418
24.08.2018,3379
25.08.2018,1805
26.08.2018,2569
27.08.2018,3562
28.08.2018,4478
29.08.2018,3710
30.08.2018,4098
31.08.2018,3987
01.09.2018,2953
02.09.2018,2669
03.09.2018,3825
04.09.2018,4344
05.09.2018,4342
06.09.2018,3137
07.09.2018,3546
08.09.2018,2468
09.09.2018,2502
10.09.2018,4149
11.09.2018,4755
12.09.2018,4546
13.09.2018,3334
14.09.2018,3884
15.09.2018,2423
16.09.2018,2740
17.09.2018,4425
18.09.2018,4907
19.09.2018,4829
20.09.2018,4735
21.09.2018,3156
22.09.2018,1646
23.09.2018,480
24.09.2018,3645
25.09.2018,4144
26.09.2018,4122
27.09.2018,4357
28.09.2018,2915
29.09.2018,2563
30.09.2018,2296
01.10.2018,3228
02.10.2018,2822
03.10.2018,2049
04.10.2018,3846
05.10.2018,4051
06.10.2018,2905
07.10.2018,2021
08.10.2018,4746
09.10.2018,5034
10.10.2018,5490
11.10.2018,5333
12.10.2018,4658
13.10.2018,3218
14.10.2018,3151
15.10.2018,5245
16.10.2018,5252
17.10.2018,5114
18.10.2018,4708
19.10.2018,3984
20.10.2018,2243
21.10.2018,2162
22.10.2018,3722
23.10.2018,3946
24.10.2018,3500
25.10.2018,3836
26.10.2018,3128
27.10.2018,1683
28.10.2018,1336
29.10.2018,3963
30.10.2018,2639
31.10.2018,3795
01.11.2018,1005
02.11.2018,2776
03.11.2018,1971
04.11.2018,1380
05.11.2018,4149
06.11.2018,4660
07.11.2018,4479
08.11.2018,4538
09.11.2018,3897
10.11.2018,1228
11.11.2018,1178
12.11.2018,3205
13.11.2018,4381
14.11.2018,4354
15.11.2018,4154
16.11.2018,3438
17.11.2018,1796
18.11.2018,1540
19.11.2018,3600
20.11.2018,3564
21.11.2018,3697
22.11.2018,3631
23.11.2018,3215
24.11.2018,811
25.11.2018,936
26.11.2018,3347
27.11.2018,3762
28.11.2018,3161
29.11.2018,2713
30.11.2018,2965
01.12.2018,1499
02.12.2018,862
03.12.2018,2852
04.12.2018,3467
05.12.2018,3405
06.12.2018,3275
07.12.2018,2279
08.12.2018,983
09.12.2018,757
10.12.2018,2966
11.12.2018,3395
12.12.2018,3495
13.12.2018,3519
14.12.2018,2816
15.12.2018,1147
16.12.2018,658
17.12.2018,2573
18.12.2018,3412
19.12.2018,3301
20.12.2018,2777
21.12.2018,1573
22.12.2018,983
23.12.2018,372
24.12.2018,384
25.12.2018,293
26.12.2018,395
27.12.2018,949
28.12.2018,1138
29.12.2018,651
30.12.2018,695
31.12.2018,581
01.01.2019,364
02.01.2019,1549
03.01.2019,1627
04.01.2019,1537
05.01.2019,696
06.01.2019,674
07.01.2019,2742
08.01.2019,2637
09.01.2019,3109
10.01.2019,3303
11.01.2019,2029
12.01.2019,893
13.01.2019,474
14.01.2019,2329
15.01.2019,3176
16.01.2019,3370
17.01.2019,2616
18.01.2019,2866
19.01.2019,1408
20.01.2019,1177
21.01.2019,2888
22.01.2019,2829
23.01.2019,1587
24.01.2019,1805
25.01.2019,1769
26.01.2019,882
27.01.2019,637
28.01.2019,1776
29.01.2019,2875
30.01.2019,1581
31.01.2019,1002
01.02.2019,1098
02.02.2019,591
03.02.2019,779
04.02.2019,2516
05.02.2019,2439
06.02.2019,2698
07.02.2019,2680
08.02.2019,2416
09.02.2019,1376
10.02.2019,582
11.02.2019,2346
12.02.2019,2736
13.02.2019,3023
14.02.2019,3029
15.02.2019,3143
16.02.2019,2406
17.02.2019,2249
18.02.2019,3604
19.02.2019,3191
20.02.2019,3347
21.02.2019,3186
22.02.2019,2653
23.02.2019,2190
24.02.2019,2281
25.02.2019,3695
26.02.2019,3968
27.02.2019,4087
28.02.2019,1664
01.03.2019,1124
02.03.2019,1020
03.03.2019,827
04.03.2019,807
05.03.2019,1543
06.03.2019,2579
07.03.2019,2620
08.03.2019,2211
09.03.2019,1272
10.03.2019,521
11.03.2019,1696
12.03.2019,2628
13.03.2019,2017
14.03.2019,1568
15.03.2019,1404
16.03.2019,1001
17.03.2019,905
18.03.2019,2695
19.03.2019,3346
20.03.2019,3329
21.03.2019,3964
22.03.2019,4171
23.03.2019,1745
24.03.2019,1927
25.03.2019,2612
26.03.2019,3123
27.03.2019,3312
28.03.2019,3491
29.03.2019,3990
30.03.2019,3247
31.03.2019,2403
01.04.2019,5002
02.04.2019,3928
03.04.2019,2986
04.04.2019,3174
05.04.2019,3276
06.04.2019,2869
07.04.2019,3480
08.04.2019,4511
09.04.2019,4504
10.04.2019,5158
11.04.2019,5153
12.04.2019,3313
13.04.2019,1822
14.04.2019,1927
15.04.2019,4685
16.04.2019,5055
17.04.2019,3895
18.04.2019,4990
19.04.2019,2805
20.04.2019,2466
21.04.2019,2024
22.04.2019,2598
23.04.2019,4802
24.04.2019,4154
25.04.2019,4146
26.04.2019,3661
27.04.2019,1188
28.04.2019,1562
29.04.2019,4766
30.04.2019,5408
01.05.2019,2847
02.05.2019,3994
03.05.2019,3521
04.05.2019,1443
05.05.2019,1280
06.05.2019,3847
07.05.2019,4666
08.05.2019,2907
09.05.2019,4230
10.05.2019,3072
11.05.2019,1608
12.05.2019,2284
13.05.2019,5410
14.05.2019,5696
15.05.2019,5762
16.05.2019,4851
17.05.2019,3380
18.05.2019,3215
19.05.2019,2093
20.05.2019,4257
21.05.2019,2240
22.05.2019,4909
23.05.2019,5905
24.05.2019,5184
25.05.2019,3393
26.05.2019,2740
27.05.2019,4215
28.05.2019,4428
29.05.2019,5673
30.05.2019,2349
31.05.2019,4049
01.06.2019,3652
02.06.2019,3676
03.06.2019,4313
04.06.2019,5951
05.06.2019,7159
06.06.2019,4953
07.06.2019,4022
08.06.2019,1845
09.06.2019,2862
10.06.2019,2311
11.06.2019,3929
12.06.2019,3968
13.06.2019,4759
14.06.2019,4699
15.06.2019,3366
16.06.2019,3524
17.06.2019,6354
18.06.2019,6450
19.06.2019,5063
20.06.2019,2336
21.06.2019,4365
22.06.2019,3358
23.06.2019,3127
24.06.2019,6041
25.06.2019,6122
26.06.2019,5997
27.06.2019,6413
28.06.2019,5645
29.06.2019,3492
30.06.2019,2863
01.07.2019,5754
02.07.2019,6158
03.07.2019,6346
04.07.2019,6388
05.07.2019,5411
06.07.2019,3929
07.07.2019,3453
08.07.2019,5066
09.07.2019,5859
10.07.2019,5931
11.07.2019,4948
12.07.2019,4142
13.07.2019,2152
14.07.2019,2411
15.07.2019,4297
16.07.2019,4854
17.07.2019,5000
18.07.2019,4700
19.07.2019,4163
20.07.2019,2152
21.07.2019,2577
22.07.2019,4690
23.07.2019,4852
24.07.2019,4422
25.07.2019,3975
26.07.2019,3436
27.07.2019,1650
28.07.2019,850
29.07.2019,4278
30.07.2019,4495
31.07.2019,4255
01.08.2019,4337
02.08.2019,3204
03.08.2019,2280
04.08.2019,2875
05.08.2019,3463
06.08.2019,3677
07.08.2019,3597
08.08.2019,3947
09.08.2019,2415
10.08.2019,2171
11.08.2019,2159
12.08.2019,3040
13.08.2019,3485
14.08.2019,4176
15.08.2019,2895
16.08.2019,3478
17.08.2019,1708
18.08.2019,1044
19.08.2019,4131
20.08.2019,4431
21.08.2019,4495
22.08.2019,4819
23.08.2019,4608
24.08.2019,3085
25.08.2019,2998
26.08.2019,4701
27.08.2019,4727
28.08.2019,4840
29.08.2019,4730
30.08.2019,4714
31.08.2019,3091
01.09.2019,2322
02.09.2019,4839
03.09.2019,4714
04.09.2019,4389
05.09.2019,4172
06.09.2019,4177
07.09.2019,1686
08.09.2019,1469
09.09.2019,4148
10.09.2019,4732
11.09.2019,3815
12.09.2019,4401
13.09.2019,3772
14.09.2019,3303
15.09.2019,3193
16.09.2019,3707
17.09.2019,4324
18.09.2019,4460
19.09.2019,4437
20.09.2019,5213
21.09.2019,2993
22.09.2019,2763
23.09.2019,3279
24.09.2019,3868
25.09.2019,3847
26.09.2019,2855
